
 Analyzing pow( x, -10. )
=========================================================================================

 Test succeed, no points rejected with ulp > 4
=========================================================================================
y = 5.321e+01 math_pow took: 153.568, 12.505
y = 5.331e+01 math_pow took: 163.178, 17.279
y = 5.341e+01 math_pow took: 134.753, 13.916
y = 5.351e+01 math_pow took: 171.598, 18.227
y = 5.361e+01 math_pow took: 160.038, 12.614
y = 5.371e+01 math_pow took: 171.694, 12.415
y = 5.381e+01 math_pow took: 159.705, 11.536
y = 5.391e+01 math_pow took: 160.490, 12.691
y = 5.401e+01 math_pow took: 153.164, 14.000
y = 5.411e+01 math_pow took: 156.708, 16.640
y = 5.421e+01 math_pow took: 156.470, 13.915
y = 5.431e+01 math_pow took: 156.946, 12.329
y = 5.441e+01 math_pow took: 167.222, 11.498
y = 5.451e+01 math_pow took: 159.301, 13.430
y = 5.461e+01 math_pow took: 157.945, 12.217
y = 5.471e+01 math_pow took: 163.939, 15.700
y = 5.481e+01 math_pow took: 123.478, 16.701
y = 5.491e+01 math_pow took: 162.250, 13.174
y = 5.501e+01 math_pow took: 170.005, 14.030
y = 5.511e+01 math_pow took: 180.780, 18.636
y = 5.521e+01 math_pow took: 167.031, 15.849
y = 5.531e+01 math_pow took: 180.400, 16.506
y = 5.541e+01 math_pow took: 155.162, 16.978
y = 5.551e+01 math_pow took: 135.228, 20.580
y = 5.561e+01 math_pow took: 157.731, 14.744
y = 5.571e+01 math_pow took: 158.920, 14.004
y = 5.581e+01 math_pow took: 161.703, 14.651
y = 5.591e+01 math_pow took: 160.871, 13.720
y = 5.601e+01 math_pow took: 153.877, 14.057
y = 5.611e+01 math_pow took: 166.342, 17.913
y = 5.621e+01 math_pow took: 129.353, 13.221
y = 5.631e+01 math_pow took: 153.687, 14.978
y = 5.641e+01 math_pow took: 133.230, 13.273
y = 5.651e+01 math_pow took: 157.707, 16.785
y = 5.661e+01 math_pow took: 159.919, 15.345
y = 5.671e+01 math_pow took: 157.612, 15.469
y = 5.681e+01 math_pow took: 170.599, 20.352
y = 5.691e+01 math_pow took: 166.651, 14.905
y = 5.701e+01 math_pow took: 106.851, 14.777
y = 5.711e+01 math_pow took: 152.783, 16.772
y = 5.721e+01 math_pow took: 181.232, 16.553
y = 5.731e+01 math_pow took: 158.706, 15.917
y = 5.741e+01 math_pow took: 154.757, 14.042
y = 5.751e+01 math_pow took: 157.231, 16.002
y = 5.761e+01 math_pow took: 158.754, 12.870
y = 5.771e+01 math_pow took: 159.206, 17.558
y = 5.781e+01 math_pow took: 152.165, 13.593
y = 5.791e+01 math_pow took: 158.563, 13.638
y = 5.801e+01 math_pow took: 160.371, 17.618
y = 5.811e+01 math_pow took: 152.973, 11.882
y = 5.821e+01 math_pow took: 152.498, 16.242
y = 5.831e+01 math_pow took: 153.045, 16.370
y = 5.841e+01 math_pow took: 161.418, 14.069
y = 5.851e+01 math_pow took: 159.110, 13.448
y = 5.861e+01 math_pow took: 158.706, 15.823
y = 5.871e+01 math_pow took: 165.461, 21.095
y = 5.881e+01 math_pow took: 193.126, 16.987
y = 5.891e+01 math_pow took: 169.291, 15.428
y = 5.901e+01 math_pow took: 153.925, 14.925
y = 5.911e+01 math_pow took: 156.208, 14.797
y = 5.921e+01 math_pow took: 179.710, 13.387
y = 5.931e+01 math_pow took: 160.395, 12.518
y = 5.941e+01 math_pow took: 162.940, 14.091
y = 5.951e+01 math_pow took: 160.252, 12.991
y = 5.961e+01 math_pow took: 160.324, 15.159
y = 5.971e+01 math_pow took: 170.243, 16.462
y = 5.981e+01 math_pow took: 142.388, 16.621
y = 5.991e+01 math_pow took: 170.433, 17.166
y = 6.001e+01 math_pow took: 154.995, 15.819
y = 6.011e+01 math_pow took: 156.232, 15.661
y = 6.021e+01 math_pow took: 135.538, 13.692
y = 6.031e+01 math_pow took: 164.676, 17.106
y = 6.041e+01 math_pow took: 148.454, 11.706
y = 6.051e+01 math_pow took: 157.445, 13.939
y = 6.061e+01 math_pow took: 150.190, 16.004
y = 6.071e+01 math_pow took: 170.599, 17.250
y = 6.081e+01 math_pow took: 169.981, 12.676
y = 6.091e+01 math_pow took: 170.052, 8.525
y = 6.101e+01 math_pow took: 152.046, 16.009
y = 6.111e+01 math_pow took: 153.116, 13.359
y = 6.121e+01 math_pow took: 153.687, 9.297
y = 6.131e+01 math_pow took: 153.069, 7.647
y = 6.141e+01 math_pow took: 153.735, 7.275
y = 6.151e+01 math_pow took: 157.802, 10.295
y = 6.161e+01 math_pow took: 159.134, 9.475
y = 6.171e+01 math_pow took: 158.635, 11.024
y = 6.181e+01 math_pow took: 157.826, 8.361
y = 6.191e+01 math_pow took: 158.611, 5.867
y = 6.201e+01 math_pow took: 153.568, 10.118
y = 6.211e+01 math_pow took: 152.807, 10.711
y = 6.221e+01 math_pow took: 153.330, 8.288
y = 6.231e+01 math_pow took: 152.141, 14.847
y = 6.241e+01 math_pow took: 153.283, 11.657
y = 6.251e+01 math_pow took: 158.302, 17.143
y = 6.261e+01 math_pow took: 157.469, 8.101
y = 6.271e+01 math_pow took: 157.350, 11.611
y = 6.281e+01 math_pow took: 158.302, 12.081
y = 6.291e+01 math_pow took: 157.445, 12.964
y = 6.301e+01 math_pow took: 152.521, 9.233
y = 6.311e+01 math_pow took: 152.950, 5.587
y = 6.321e+01 math_pow took: 153.972, 12.616
y = 6.331e+01 math_pow took: 153.520, 9.846
y = 6.341e+01 math_pow took: 153.283, 7.643
y = 6.351e+01 math_pow took: 170.647, 11.843
y = 6.361e+01 math_pow took: 158.373, 11.391
y = 6.371e+01 math_pow took: 158.563, 7.032
y = 6.381e+01 math_pow took: 158.635, 13.542
y = 6.391e+01 math_pow took: 147.098, 10.473
y = 6.401e+01 math_pow took: 108.563, 11.717
y = 6.411e+01 math_pow took: 108.635, 11.647
y = 6.421e+01 math_pow took: 152.521, 12.657
y = 6.431e+01 math_pow took: 152.331, 11.361
y = 6.441e+01 math_pow took: 109.324, 13.297
y = 6.451e+01 math_pow took: 159.396, 11.402
y = 6.461e+01 math_pow took: 177.617, 13.703
y = 6.471e+01 math_pow took: 169.648, 15.024
y = 6.481e+01 math_pow took: 163.844, 12.458
y = 6.491e+01 math_pow took: 157.065, 11.608
y = 6.501e+01 math_pow took: 164.320, 13.030
y = 6.511e+01 math_pow took: 136.703, 13.076
y = 6.521e+01 math_pow took: 164.201, 12.017
y = 6.531e+01 math_pow took: 164.058, 15.325
y = 6.541e+01 math_pow took: 153.711, 7.610
y = 6.551e+01 math_pow took: 157.707, 7.963
y = 6.561e+01 math_pow took: 158.825, 13.484
y = 6.571e+01 math_pow took: 157.683, 16.298
y = 6.581e+01 math_pow took: 158.111, 17.239
y = 6.591e+01 math_pow took: 158.302, 10.155
y = 6.601e+01 math_pow took: 153.140, 9.652
y = 6.611e+01 math_pow took: 153.259, 10.160
y = 6.621e+01 math_pow took: 153.330, 12.550
y = 6.631e+01 math_pow took: 153.901, 10.522
y = 6.641e+01 math_pow took: 157.303, 10.150
y = 6.651e+01 math_pow took: 157.755, 12.171
y = 6.661e+01 math_pow took: 158.492, 9.519
y = 6.671e+01 math_pow took: 158.444, 5.873
y = 6.681e+01 math_pow took: 158.492, 8.967
y = 6.691e+01 math_pow took: 167.412, 11.594
y = 6.701e+01 math_pow took: 153.306, 7.554
y = 6.711e+01 math_pow took: 153.520, 7.529
y = 6.721e+01 math_pow took: 152.926, 10.777
y = 6.731e+01 math_pow took: 152.854, 9.125
y = 6.741e+01 math_pow took: 153.330, 8.166
y = 6.751e+01 math_pow took: 157.612, 5.177
y = 6.761e+01 math_pow took: 178.687, 11.055
y = 6.771e+01 math_pow took: 114.462, 9.985
y = 6.781e+01 math_pow took: 156.089, 16.953
y = 6.791e+01 math_pow took: 158.492, 15.621
y = 6.801e+01 math_pow took: 170.909, 7.554
y = 6.811e+01 math_pow took: 163.749, 10.353
y = 6.821e+01 math_pow took: 152.450, 10.044
y = 6.831e+01 math_pow took: 152.902, 8.076
y = 6.841e+01 math_pow took: 152.379, 11.320
y = 6.851e+01 math_pow took: 156.304, 9.478
y = 6.861e+01 math_pow took: 156.351, 8.021
y = 6.871e+01 math_pow took: 158.278, 9.262
y = 6.881e+01 math_pow took: 158.444, 10.881
y = 6.891e+01 math_pow took: 157.231, 7.836
y = 6.901e+01 math_pow took: 152.545, 9.041
y = 6.911e+01 math_pow took: 153.021, 8.586
y = 6.921e+01 math_pow took: 153.520, 8.537
y = 6.931e+01 math_pow took: 152.688, 7.150
y = 6.941e+01 math_pow took: 152.807, 10.181
y = 6.951e+01 math_pow took: 157.279, 7.698
y = 6.961e+01 math_pow took: 162.536, 6.733
y = 6.971e+01 math_pow took: 157.636, 7.728
y = 6.981e+01 math_pow took: 157.731, 10.439
y = 6.991e+01 math_pow took: 157.612, 8.202
y = 7.001e+01 math_pow took: 152.617, 6.149
y = 7.011e+01 math_pow took: 153.164, 7.674
y = 7.021e+01 math_pow took: 153.378, 9.838
y = 7.031e+01 math_pow took: 153.140, 10.962
y = 7.041e+01 math_pow took: 152.545, 6.354
y = 7.051e+01 math_pow took: 157.969, 7.645
y = 7.061e+01 math_pow took: 158.159, 7.958
y = 7.071e+01 math_pow took: 157.873, 6.390
y = 7.081e+01 math_pow took: 161.465, 8.538
y = 7.091e+01 math_pow took: 157.707, 6.226
y = 7.101e+01 math_pow took: 153.473, 6.723
y = 7.111e+01 math_pow took: 153.235, 7.313
y = 7.121e+01 math_pow took: 152.617, 7.652
y = 7.131e+01 math_pow took: 153.069, 7.251
y = 7.141e+01 math_pow took: 153.711, 8.264
y = 7.151e+01 math_pow took: 157.731, 11.657
y = 7.161e+01 math_pow took: 157.303, 7.915
y = 7.171e+01 math_pow took: 157.445, 9.433
y = 7.181e+01 math_pow took: 158.302, 12.667
y = 7.191e+01 math_pow took: 157.636, 11.352
y = 7.201e+01 math_pow took: 150.285, 14.870
y = 7.211e+01 math_pow took: 153.473, 13.290
y = 7.221e+01 math_pow took: 150.262, 12.590
y = 7.231e+01 math_pow took: 105.733, 17.255
y = 7.241e+01 math_pow took: 150.690, 13.334
y = 7.251e+01 math_pow took: 156.613, 11.240
y = 7.261e+01 math_pow took: 157.469, 9.721
y = 7.271e+01 math_pow took: 157.493, 7.864
y = 7.281e+01 math_pow took: 158.516, 10.291
y = 7.291e+01 math_pow took: 158.397, 7.455
y = 7.301e+01 math_pow took: 153.187, 11.766
y = 7.311e+01 math_pow took: 153.164, 10.244
y = 7.321e+01 math_pow took: 152.545, 6.665
y = 7.331e+01 math_pow took: 152.188, 8.121
y = 7.341e+01 math_pow took: 153.069, 11.516
y = 7.351e+01 math_pow took: 157.207, 10.918
y = 7.361e+01 math_pow took: 157.493, 9.191
y = 7.371e+01 math_pow took: 157.374, 6.492
y = 7.381e+01 math_pow took: 157.398, 8.093
y = 7.391e+01 math_pow took: 157.612, 8.827
y = 7.401e+01 math_pow took: 152.165, 10.508
y = 7.411e+01 math_pow took: 153.069, 10.756
y = 7.421e+01 math_pow took: 153.045, 7.684
y = 7.431e+01 math_pow took: 152.236, 6.194
y = 7.441e+01 math_pow took: 152.188, 5.866
y = 7.451e+01 math_pow took: 158.349, 10.598
y = 7.461e+01 math_pow took: 162.012, 7.246
y = 7.471e+01 math_pow took: 158.421, 7.728
y = 7.481e+01 math_pow took: 157.398, 11.121
y = 7.491e+01 math_pow took: 157.374, 11.652
y = 7.501e+01 math_pow took: 152.878, 6.837
y = 7.511e+01 math_pow took: 152.640, 7.421
y = 7.521e+01 math_pow took: 152.022, 7.784
y = 7.531e+01 math_pow took: 152.093, 10.478
y = 7.541e+01 math_pow took: 152.165, 7.057
y = 7.551e+01 math_pow took: 157.136, 9.942
y = 7.561e+01 math_pow took: 157.945, 7.422
y = 7.571e+01 math_pow took: 157.873, 8.150
y = 7.581e+01 math_pow took: 161.537, 8.016
y = 7.591e+01 math_pow took: 157.207, 10.546
y = 7.601e+01 math_pow took: 152.878, 6.084
y = 7.611e+01 math_pow took: 151.784, 8.359
y = 7.621e+01 math_pow took: 153.069, 8.231
y = 7.631e+01 math_pow took: 152.640, 8.399
y = 7.641e+01 math_pow took: 153.211, 8.809
y = 7.651e+01 math_pow took: 168.268, 14.935
y = 7.661e+01 math_pow took: 169.077, 13.395
y = 7.671e+01 math_pow took: 157.326, 5.316
y = 7.681e+01 math_pow took: 157.493, 7.274
y = 7.691e+01 math_pow took: 157.374, 9.489
y = 7.701e+01 math_pow took: 152.450, 9.144
y = 7.711e+01 math_pow took: 152.188, 11.381
y = 7.721e+01 math_pow took: 151.713, 7.149
y = 7.731e+01 math_pow took: 152.307, 7.806
y = 7.741e+01 math_pow took: 151.665, 6.164
y = 7.751e+01 math_pow took: 156.446, 12.830
y = 7.761e+01 math_pow took: 158.088, 7.703
y = 7.771e+01 math_pow took: 158.135, 6.711
y = 7.781e+01 math_pow took: 157.112, 7.946
y = 7.791e+01 math_pow took: 158.682, 7.124
y = 7.801e+01 math_pow took: 153.116, 6.317
y = 7.811e+01 math_pow took: 152.307, 8.041
y = 7.821e+01 math_pow took: 153.830, 11.528
y = 7.831e+01 math_pow took: 151.832, 6.179
y = 7.841e+01 math_pow took: 152.878, 8.123
y = 7.851e+01 math_pow took: 157.636, 7.021
y = 7.861e+01 math_pow took: 158.088, 7.244
y = 7.871e+01 math_pow took: 157.992, 10.324
y = 7.881e+01 math_pow took: 157.897, 7.579
y = 7.891e+01 math_pow took: 156.708, 5.648
y = 7.901e+01 math_pow took: 152.831, 6.689
y = 7.911e+01 math_pow took: 153.354, 8.031
y = 7.921e+01 math_pow took: 153.687, 7.537
y = 7.931e+01 math_pow took: 152.402, 8.190
y = 7.941e+01 math_pow took: 151.546, 7.563
y = 7.951e+01 math_pow took: 157.088, 8.150
y = 7.961e+01 math_pow took: 157.992, 8.972
y = 7.971e+01 math_pow took: 157.279, 10.812
y = 7.981e+01 math_pow took: 157.422, 10.690
y = 7.991e+01 math_pow took: 161.132, 9.459
y = 8.001e+01 math_pow took: 152.498, 5.603
y = 8.011e+01 math_pow took: 151.546, 9.682
y = 8.021e+01 math_pow took: 151.570, 8.431
y = 8.031e+01 math_pow took: 151.403, 9.509
y = 8.041e+01 math_pow took: 151.451, 10.247
y = 8.051e+01 math_pow took: 157.398, 7.837
y = 8.061e+01 math_pow took: 156.565, 12.264
y = 8.071e+01 math_pow took: 156.660, 7.743
y = 8.081e+01 math_pow took: 156.494, 6.762
y = 8.091e+01 math_pow took: 156.874, 5.872
y = 8.101e+01 math_pow took: 151.689, 6.630
y = 8.111e+01 math_pow took: 154.734, 9.492
y = 8.121e+01 math_pow took: 152.569, 5.642
y = 8.131e+01 math_pow took: 151.332, 10.484
y = 8.141e+01 math_pow took: 152.141, 7.019
y = 8.151e+01 math_pow took: 156.280, 6.408
y = 8.161e+01 math_pow took: 159.872, 9.184
y = 8.171e+01 math_pow took: 157.184, 8.537
y = 8.181e+01 math_pow took: 157.231, 10.678
y = 8.191e+01 math_pow took: 158.040, 8.755
y = 8.201e+01 math_pow took: 152.640, 9.218
y = 8.211e+01 math_pow took: 151.998, 8.940
y = 8.221e+01 math_pow took: 151.808, 9.867
y = 8.231e+01 math_pow took: 152.331, 14.788
y = 8.241e+01 math_pow took: 165.176, 12.391
y = 8.251e+01 math_pow took: 156.803, 12.444
y = 8.261e+01 math_pow took: 157.231, 5.530
y = 8.271e+01 math_pow took: 170.956, 7.926
y = 8.281e+01 math_pow took: 157.517, 12.376
y = 8.291e+01 math_pow took: 156.874, 14.188
y = 8.301e+01 math_pow took: 151.475, 8.730
y = 8.311e+01 math_pow took: 151.284, 6.861
y = 8.321e+01 math_pow took: 151.332, 7.463
y = 8.331e+01 math_pow took: 151.618, 7.760
y = 8.341e+01 math_pow took: 151.832, 16.445
y = 8.351e+01 math_pow took: 115.913, 14.771
y = 8.361e+01 math_pow took: 154.948, 14.628
y = 8.371e+01 math_pow took: 157.612, 13.828
y = 8.381e+01 math_pow took: 156.827, 14.955
y = 8.391e+01 math_pow took: 168.815, 18.980
y = 8.401e+01 math_pow took: 162.655, 15.786
y = 8.411e+01 math_pow took: 163.582, 14.462
y = 8.421e+01 math_pow took: 155.780, 9.294
y = 8.431e+01 math_pow took: 151.736, 7.834
y = 8.441e+01 math_pow took: 153.330, 9.433
y = 8.451e+01 math_pow took: 155.923, 10.050
y = 8.461e+01 math_pow took: 156.946, 14.509
y = 8.471e+01 math_pow took: 156.541, 5.810
y = 8.481e+01 math_pow took: 157.469, 9.494
y = 8.491e+01 math_pow took: 157.802, 12.306
y = 8.501e+01 math_pow took: 152.450, 9.640
y = 8.511e+01 math_pow took: 105.899, 11.914
y = 8.521e+01 math_pow took: 152.521, 9.014
y = 8.531e+01 math_pow took: 151.594, 9.385
y = 8.541e+01 math_pow took: 152.188, 10.608
y = 8.551e+01 math_pow took: 156.375, 10.761
y = 8.561e+01 math_pow took: 156.851, 16.738
y = 8.571e+01 math_pow took: 156.589, 8.364
y = 8.581e+01 math_pow took: 156.161, 8.643
y = 8.591e+01 math_pow took: 156.874, 10.183
y = 8.601e+01 math_pow took: 151.308, 9.507
y = 8.611e+01 math_pow took: 153.972, 11.136
y = 8.621e+01 math_pow took: 151.023, 8.561
y = 8.631e+01 math_pow took: 152.640, 8.270
y = 8.641e+01 math_pow took: 152.593, 10.777
y = 8.651e+01 math_pow took: 157.588, 8.703
y = 8.661e+01 math_pow took: 157.921, 8.477
y = 8.671e+01 math_pow took: 170.266, 8.985
y = 8.681e+01 math_pow took: 156.922, 12.752
y = 8.691e+01 math_pow took: 156.256, 10.892
y = 8.701e+01 math_pow took: 151.284, 8.762
y = 8.711e+01 math_pow took: 151.070, 7.108
y = 8.721e+01 math_pow took: 151.546, 7.661
y = 8.731e+01 math_pow took: 151.166, 6.589
y = 8.741e+01 math_pow took: 152.498, 10.391
y = 8.751e+01 math_pow took: 157.422, 10.246
y = 8.761e+01 math_pow took: 156.256, 9.351
y = 8.771e+01 math_pow took: 156.732, 9.875
y = 8.781e+01 math_pow took: 156.494, 13.053
y = 8.791e+01 math_pow took: 156.351, 7.534
y = 8.801e+01 math_pow took: 163.107, 9.810
y = 8.811e+01 math_pow took: 151.641, 7.599
y = 8.821e+01 math_pow took: 151.998, 10.263
y = 8.831e+01 math_pow took: 151.499, 8.600
y = 8.841e+01 math_pow took: 151.356, 8.867
y = 8.851e+01 math_pow took: 155.947, 10.460
y = 8.861e+01 math_pow took: 156.470, 11.105
y = 8.871e+01 math_pow took: 156.185, 12.953
y = 8.881e+01 math_pow took: 156.185, 11.586
y = 8.891e+01 math_pow took: 156.137, 13.326
y = 8.901e+01 math_pow took: 151.237, 8.867
y = 8.911e+01 math_pow took: 151.213, 6.417
y = 8.921e+01 math_pow took: 150.999, 7.782
y = 8.931e+01 math_pow took: 151.047, 8.289
y = 8.941e+01 math_pow took: 151.094, 8.311
y = 8.951e+01 math_pow took: 155.923, 11.203
y = 8.961e+01 math_pow took: 157.184, 7.426
y = 8.971e+01 math_pow took: 156.660, 11.468
y = 8.981e+01 math_pow took: 156.541, 12.345
y = 8.991e+01 math_pow took: 155.685, 9.690
y = 9.001e+01 math_pow took: 150.690, 13.049
y = 9.011e+01 math_pow took: 150.404, 10.266
y = 9.021e+01 math_pow took: 150.547, 9.847
y = 9.031e+01 math_pow took: 150.761, 6.678
y = 9.041e+01 math_pow took: 152.212, 11.325
y = 9.051e+01 math_pow took: 157.017, 7.421
y = 9.061e+01 math_pow took: 156.399, 7.431
y = 9.071e+01 math_pow took: 155.828, 10.316
y = 9.081e+01 math_pow took: 155.994, 6.548
y = 9.091e+01 math_pow took: 164.225, 7.586
y = 9.101e+01 math_pow took: 151.356, 11.682
y = 9.111e+01 math_pow took: 150.904, 6.849
y = 9.121e+01 math_pow took: 150.880, 7.328
y = 9.131e+01 math_pow took: 150.737, 8.443
y = 9.141e+01 math_pow took: 150.785, 6.306
y = 9.151e+01 math_pow took: 155.923, 8.970
y = 9.161e+01 math_pow took: 157.184, 9.405
y = 9.171e+01 math_pow took: 167.697, 11.651
y = 9.181e+01 math_pow took: 156.637, 8.069
y = 9.191e+01 math_pow took: 157.207, 9.038
y = 9.201e+01 math_pow took: 150.785, 10.687
y = 9.211e+01 math_pow took: 150.833, 12.992
y = 9.221e+01 math_pow took: 159.515, 9.002
y = 9.231e+01 math_pow took: 151.594, 5.849
y = 9.241e+01 math_pow took: 151.237, 9.607
y = 9.251e+01 math_pow took: 155.804, 12.789
y = 9.261e+01 math_pow took: 156.898, 7.260
y = 9.271e+01 math_pow took: 156.304, 7.849
y = 9.281e+01 math_pow took: 156.089, 6.490
y = 9.291e+01 math_pow took: 157.517, 6.823
y = 9.301e+01 math_pow took: 150.785, 7.367
y = 9.311e+01 math_pow took: 150.690, 6.713
y = 9.321e+01 math_pow took: 150.928, 11.219
y = 9.331e+01 math_pow took: 150.809, 7.654
y = 9.341e+01 math_pow took: 150.618, 6.303
y = 9.351e+01 math_pow took: 174.786, 10.811
y = 9.361e+01 math_pow took: 156.470, 6.614
y = 9.371e+01 math_pow took: 161.037, 9.623
y = 9.381e+01 math_pow took: 157.017, 11.292
y = 9.391e+01 math_pow took: 155.875, 9.902
y = 9.401e+01 math_pow took: 153.568, 5.757
y = 9.411e+01 math_pow took: 150.618, 9.090
y = 9.421e+01 math_pow took: 150.476, 5.623
y = 9.431e+01 math_pow took: 151.522, 10.215
y = 9.441e+01 math_pow took: 151.522, 6.646
y = 9.451e+01 math_pow took: 156.565, 8.725
y = 9.461e+01 math_pow took: 155.590, 8.838
y = 9.471e+01 math_pow took: 156.351, 6.978
y = 9.481e+01 math_pow took: 160.371, 10.568
y = 9.491e+01 math_pow took: 155.614, 8.142
y = 9.501e+01 math_pow took: 111.275, 12.389
y = 9.511e+01 math_pow took: 164.581, 14.849
y = 9.521e+01 math_pow took: 150.309, 11.809
y = 9.531e+01 math_pow took: 150.000, 14.418
y = 9.541e+01 math_pow took: 151.070, 13.578
y = 9.551e+01 math_pow took: 154.662, 12.056
y = 9.561e+01 math_pow took: 156.946, 16.531
y = 9.571e+01 math_pow took: 167.364, 14.530
y = 9.581e+01 math_pow took: 167.483, 14.829
y = 9.591e+01 math_pow took: 155.828, 8.194
y = 9.601e+01 math_pow took: 151.665, 14.177
y = 9.611e+01 math_pow took: 151.713, 7.150
y = 9.621e+01 math_pow took: 152.379, 11.469
y = 9.631e+01 math_pow took: 162.393, 11.443
y = 9.641e+01 math_pow took: 151.736, 7.624
y = 9.651e+01 math_pow took: 155.637, 11.520
y = 9.661e+01 math_pow took: 156.494, 7.333
y = 9.671e+01 math_pow took: 157.184, 8.856
y = 9.681e+01 math_pow took: 163.892, 10.677
y = 9.691e+01 math_pow took: 155.971, 7.778
y = 9.701e+01 math_pow took: 151.284, 6.475
y = 9.711e+01 math_pow took: 151.047, 6.632
y = 9.721e+01 math_pow took: 151.713, 11.737
y = 9.731e+01 math_pow took: 150.951, 5.814
y = 9.741e+01 math_pow took: 150.856, 13.151
y = 9.751e+01 math_pow took: 156.042, 7.075
y = 9.761e+01 math_pow took: 156.137, 6.781
y = 9.771e+01 math_pow took: 155.828, 6.260
y = 9.781e+01 math_pow took: 156.042, 7.306
y = 9.791e+01 math_pow took: 155.852, 8.268
y = 9.801e+01 math_pow took: 151.356, 8.720
y = 9.811e+01 math_pow took: 150.642, 6.888
y = 9.821e+01 math_pow took: 150.571, 7.992
y = 9.831e+01 math_pow took: 150.595, 10.448
y = 9.841e+01 math_pow took: 150.500, 12.225
y = 9.851e+01 math_pow took: 155.447, 6.569
y = 9.861e+01 math_pow took: 156.446, 12.866
y = 9.871e+01 math_pow took: 155.804, 8.995
y = 9.881e+01 math_pow took: 158.635, 8.352
y = 9.891e+01 math_pow took: 155.804, 8.151
y = 9.901e+01 math_pow took: 150.618, 7.320
y = 9.911e+01 math_pow took: 150.951, 6.601
y = 9.921e+01 math_pow took: 156.375, 7.780
y = 9.931e+01 math_pow took: 150.833, 11.267
y = 9.941e+01 math_pow took: 150.833, 9.068
y = 9.951e+01 math_pow took: 155.756, 7.450
y = 9.961e+01 math_pow took: 156.970, 9.727
y = 9.971e+01 math_pow took: 156.803, 8.101
y = 9.981e+01 math_pow took: 155.756, 7.179
y = 9.991e+01 math_pow took: 155.899, 8.344
