
 Analyzing pow( x, -10. )
=========================================================================================

 Test succeed, no points rejected with ulp > 4
=========================================================================================
y = 1.211e+01 math_pow took: 187.536, 14.219
y = 1.221e+01 math_pow took: 180.447, 13.842
y = 1.231e+01 math_pow took: 180.566, 19.416
y = 1.241e+01 math_pow took: 190.247, 16.438
y = 1.251e+01 math_pow took: 126.380, 20.134
y = 1.261e+01 math_pow took: 185.395, 18.231
y = 1.271e+01 math_pow took: 190.105, 16.282
y = 1.281e+01 math_pow took: 197.574, 16.768
y = 1.291e+01 math_pow took: 186.584, 18.031
y = 1.301e+01 math_pow took: 178.449, 21.752
y = 1.311e+01 math_pow took: 164.605, 21.445
y = 1.321e+01 math_pow took: 180.352, 13.677
y = 1.331e+01 math_pow took: 194.553, 19.275
y = 1.341e+01 math_pow took: 166.009, 14.067
y = 1.351e+01 math_pow took: 227.569, 22.866
y = 1.361e+01 math_pow took: 191.627, 14.311
y = 1.371e+01 math_pow took: 185.490, 12.068
y = 1.381e+01 math_pow took: 191.270, 16.673
y = 1.391e+01 math_pow took: 182.850, 19.095
y = 1.401e+01 math_pow took: 247.098, 24.190
y = 1.411e+01 math_pow took: 217.721, 19.546
y = 1.421e+01 math_pow took: 176.332, 15.857
y = 1.431e+01 math_pow took: 177.450, 13.484
y = 1.441e+01 math_pow took: 188.392, 15.614
y = 1.451e+01 math_pow took: 180.756, 16.706
y = 1.461e+01 math_pow took: 113.535, 19.541
y = 1.471e+01 math_pow took: 178.520, 22.159
y = 1.481e+01 math_pow took: 179.971, 19.627
y = 1.491e+01 math_pow took: 185.014, 16.937
y = 1.501e+01 math_pow took: 176.475, 17.736
y = 1.511e+01 math_pow took: 174.691, 14.063
y = 1.521e+01 math_pow took: 176.261, 19.695
y = 1.531e+01 math_pow took: 175.095, 12.214
y = 1.541e+01 math_pow took: 176.760, 13.191
y = 1.551e+01 math_pow took: 194.006, 18.232
y = 1.561e+01 math_pow took: 179.139, 16.819
y = 1.571e+01 math_pow took: 184.586, 16.314
y = 1.581e+01 math_pow took: 154.353, 21.226
y = 1.591e+01 math_pow took: 178.901, 13.737
y = 1.601e+01 math_pow took: 175.595, 14.642
y = 1.611e+01 math_pow took: 182.683, 17.824
y = 1.621e+01 math_pow took: 171.860, 16.959
y = 1.631e+01 math_pow took: 174.643, 13.320
y = 1.641e+01 math_pow took: 155.209, 13.305
y = 1.651e+01 math_pow took: 184.943, 15.646
y = 1.661e+01 math_pow took: 177.545, 20.078
y = 1.671e+01 math_pow took: 189.391, 17.882
y = 1.681e+01 math_pow took: 177.878, 16.466
y = 1.691e+01 math_pow took: 176.903, 17.083
y = 1.701e+01 math_pow took: 172.336, 16.462
y = 1.711e+01 math_pow took: 173.359, 12.311
y = 1.721e+01 math_pow took: 170.766, 15.909
y = 1.731e+01 math_pow took: 162.631, 18.241
y = 1.741e+01 math_pow took: 184.491, 16.120
y = 1.751e+01 math_pow took: 175.595, 17.358
y = 1.761e+01 math_pow took: 183.421, 16.141
y = 1.771e+01 math_pow took: 174.667, 18.615
y = 1.781e+01 math_pow took: 175.333, 16.896
y = 1.791e+01 math_pow took: 111.679, 22.359
y = 1.801e+01 math_pow took: 169.434, 14.705
y = 1.811e+01 math_pow took: 169.458, 17.296
y = 1.821e+01 math_pow took: 184.467, 13.853
y = 1.831e+01 math_pow took: 172.336, 15.955
y = 1.841e+01 math_pow took: 168.387, 12.842
y = 1.851e+01 math_pow took: 173.906, 15.973
y = 1.861e+01 math_pow took: 173.478, 16.469
y = 1.871e+01 math_pow took: 174.096, 13.856
y = 1.881e+01 math_pow took: 178.306, 15.115
y = 1.891e+01 math_pow took: 189.415, 15.667
y = 1.901e+01 math_pow took: 155.162, 13.898
y = 1.911e+01 math_pow took: 157.921, 20.991
y = 1.921e+01 math_pow took: 170.599, 19.556
y = 1.931e+01 math_pow took: 168.221, 13.595
y = 1.941e+01 math_pow took: 173.073, 13.618
y = 1.951e+01 math_pow took: 122.265, 18.254
y = 1.961e+01 math_pow took: 188.273, 18.346
y = 1.971e+01 math_pow took: 176.356, 16.539
y = 1.981e+01 math_pow took: 173.549, 20.915
y = 1.991e+01 math_pow took: 172.193, 13.845
y = 2.001e+01 math_pow took: 173.549, 16.758
y = 2.011e+01 math_pow took: 152.498, 16.738
y = 2.021e+01 math_pow took: 179.258, 20.212
y = 2.031e+01 math_pow took: 157.683, 14.685
y = 2.041e+01 math_pow took: 166.603, 15.300
y = 2.051e+01 math_pow took: 186.013, 12.889
y = 2.061e+01 math_pow took: 187.441, 14.975
y = 2.071e+01 math_pow took: 173.549, 17.710
y = 2.081e+01 math_pow took: 172.883, 15.790
y = 2.091e+01 math_pow took: 187.036, 18.295
y = 2.101e+01 math_pow took: 172.288, 17.067
y = 2.111e+01 math_pow took: 170.409, 17.157
y = 2.121e+01 math_pow took: 165.818, 16.319
y = 2.131e+01 math_pow took: 167.364, 14.640
y = 2.141e+01 math_pow took: 165.200, 15.922
y = 2.151e+01 math_pow took: 178.425, 15.959
y = 2.161e+01 math_pow took: 218.007, 21.491
y = 2.171e+01 math_pow took: 184.301, 16.716
y = 2.181e+01 math_pow took: 170.314, 14.902
y = 2.191e+01 math_pow took: 170.362, 15.729
y = 2.201e+01 math_pow took: 177.141, 15.584
y = 2.211e+01 math_pow took: 165.081, 20.295
y = 2.221e+01 math_pow took: 165.176, 16.369
y = 2.231e+01 math_pow took: 193.839, 15.134
y = 2.241e+01 math_pow took: 166.413, 15.309
y = 2.251e+01 math_pow took: 151.903, 16.749
y = 2.261e+01 math_pow took: 170.362, 19.207
y = 2.271e+01 math_pow took: 169.696, 18.600
y = 2.281e+01 math_pow took: 172.288, 19.052
y = 2.291e+01 math_pow took: 170.766, 15.077
y = 2.301e+01 math_pow took: 166.627, 13.958
y = 2.311e+01 math_pow took: 164.486, 15.995
y = 2.321e+01 math_pow took: 163.915, 15.516
y = 2.331e+01 math_pow took: 169.339, 16.805
y = 2.341e+01 math_pow took: 170.623, 18.811
y = 2.351e+01 math_pow took: 168.292, 13.836
y = 2.361e+01 math_pow took: 183.088, 15.379
y = 2.371e+01 math_pow took: 169.339, 15.990
y = 2.381e+01 math_pow took: 168.768, 12.948
y = 2.391e+01 math_pow took: 170.480, 16.106
y = 2.401e+01 math_pow took: 178.687, 14.339
y = 2.411e+01 math_pow took: 168.221, 12.652
y = 2.421e+01 math_pow took: 177.450, 11.142
y = 2.431e+01 math_pow took: 164.629, 18.750
y = 2.441e+01 math_pow took: 159.586, 16.300
y = 2.451e+01 math_pow took: 147.907, 14.603
y = 2.461e+01 math_pow took: 167.103, 15.476
y = 2.471e+01 math_pow took: 124.667, 22.986
y = 2.481e+01 math_pow took: 170.480, 20.973
y = 2.491e+01 math_pow took: 167.436, 17.323
y = 2.501e+01 math_pow took: 165.414, 16.597
y = 2.511e+01 math_pow took: 163.297, 13.172
y = 2.521e+01 math_pow took: 169.933, 15.194
y = 2.531e+01 math_pow took: 161.989, 14.805
y = 2.541e+01 math_pow took: 162.821, 12.745
y = 2.551e+01 math_pow took: 169.672, 12.720
y = 2.561e+01 math_pow took: 166.984, 15.889
y = 2.571e+01 math_pow took: 167.222, 13.428
y = 2.581e+01 math_pow took: 167.983, 14.277
y = 2.591e+01 math_pow took: 181.232, 15.017
y = 2.601e+01 math_pow took: 175.262, 18.195
y = 2.611e+01 math_pow took: 163.868, 12.958
y = 2.621e+01 math_pow took: 162.655, 14.731
y = 2.631e+01 math_pow took: 174.952, 14.740
y = 2.641e+01 math_pow took: 162.559, 14.870
y = 2.651e+01 math_pow took: 167.816, 16.942
y = 2.661e+01 math_pow took: 166.246, 14.493
y = 2.671e+01 math_pow took: 166.817, 12.963
y = 2.681e+01 math_pow took: 179.377, 15.599
y = 2.691e+01 math_pow took: 174.120, 14.023
y = 2.701e+01 math_pow took: 161.037, 16.127
y = 2.711e+01 math_pow took: 162.274, 12.503
y = 2.721e+01 math_pow took: 168.768, 14.587
y = 2.731e+01 math_pow took: 174.715, 14.265
y = 2.741e+01 math_pow took: 162.536, 17.348
